Rewards
0.125
0.13
0.126
0.127
0.047
0.004
0.003
0.003
0.127
0.13
0.126
0.125
0.047
0.004
0.003
0.003
0.127
0.13
0.126
0.125
0.047
0.004
0.003
0.003
0.127
0.13
0.126
0.125
0.047
0.004
0.003
0.003
0.127
0.13
0.126
0.125
0.047
0.004
0.003
0.003
0.127
0.13
0.126
0.125
0.047
0.004
0.003
0.003
0.127
0.13
0.126
0.125
0.047
0.004
0.003
0.003
0.127
0.13
0.126
0.125
0.047
0.004
0.003
0.003
0.127
0.13
0.126
0.125
0.047
0.004
0.003
0.003
0.127
0.13
0.126
0.125
0.047
0.127
0.13
0.126
0.125
0.004
0.003
0.003
0.047
0.127
0.13
0.126
0.125
0.004
0.003
0.003
0.127
0.13
0.126
0.125
0.047
0.004
0.003
0.003
