Rewards
0.09
0.096
0.091
0.093
0.037
0.005
0.004
0.003
0.093
0.096
0.091
0.09
0.037
0.005
0.004
0.003
0.093
0.096
0.091
0.09
0.037
0.005
0.004
0.003
0.093
0.096
0.091
0.09
0.037
0.005
0.004
0.003
0.093
0.096
0.091
0.09
0.037
0.005
0.004
0.003
0.093
0.096
0.091
0.09
0.037
0.005
0.004
0.003
0.093
0.096
0.091
0.09
0.037
0.005
0.004
0.003
0.093
0.096
0.091
0.09
0.037
0.005
0.004
0.003
0.093
0.096
0.091
0.09
0.037
0.005
0.004
0.003
0.093
0.096
0.091
0.09
0.037
0.005
0.004
0.003
0.093
0.096
0.091
0.09
0.037
0.005
0.004
0.003
0.093
0.096
0.091
0.09
0.037
0.093
0.096
0.091
0.09
0.005
0.004
0.003
